Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"100nF","贴片电容","C1, C3, C6, C7, C8, C11, C12, C28, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C89, C93","0402_C","0402 100nF (104) 10% 16V","2","22"
"10uF","贴片电容","C2, C9, C10, C13, C15, C17, C18, C20, C23, C24, C32, C33, C88","0402_C","0402 10uF (106) 20% 6.3V","2","13"
"10uF (106) 20% 6.3V","贴片电容","C4","0402_C","0402 10uF (106) 20% 6.3V","2","1"
"100nF (104) 10% 16V","贴片电容","C5","0402_C","0402 100nF (104) 10% 16V","2","1"
"1uF","贴片电容","C14, C16, C19, C21, C25, C26, C27","0402_C","0603 1uF (105) 10% 50V","2","7"
"2.2uF","贴片电容","C22, C30, C31","0603_C","0603 2.2uF (225) 10% 16V","2","3"
"10nF","贴片电容","C29, C34, C75","0402_C","0402 10nF (103) 10% 50V","2","3"
"10pF","贴片电容","C35, C36","0402_C","0603 10pF (100) 5% 50V","2","2"
"22pF","贴片电容","C37, C38, C90, C96","0402_C","0603 22pF (220) 5% 50V, 0402 22pF (220) 5% 50V","2","4"
"10uF  10V","贴片电容","C39, C43","0402_C","0603 10uF (106) 10% 10V","2","2"
"100nF  50V","贴片电容","C40, C41, C44","0402_C","0603 100nF (104) 10% 50V","2","3"
"2.2uF 16V","贴片电容","C42","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"2.2uF (225) 10% 16V","贴片电容","C45","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"4.7nF","贴片电容","C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74","0603_C","0402 4.7nF (472) 10% 50V","2","17"
"1uF 50V","贴片电容","C76, C78, C80, C82, C84, C86","0402_C","0603 10nF (103) 10% 50V","2","6"
"100nF 50V","贴片电容","C77, C79, C81, C83, C85, C87","0402_C","0603 10nF (103) 10% 50V","2","6"
"100uF","钽电容","C91","CASE-B_3528","3528 100uF (107) 10% 6.3V","2","1"
"1uF","贴片电容","C92, C94, C95","0603_C","0603 1uF (105) 10% 50V","2","3"
"SS210","二极管","D1","SMA(DO-214AC)_S1","SMA(DO-214AC) SS210","2","1"
"红灯 0603","发光二极管","D2, LED0","0603_LED_S1","0603 红灯","2","2"
"绿灯 0603","发光二极管","D3, LED1, PWR","0603_LED_S1","0603 绿灯","2","3"
"Fuse 1A","Fuse","F1","0805_R","Fuse 2","2","1"
"SW-PB","Switch","KEY1, KEY2, RESET","KEY_3.6*2.5","SW-PB","2","3"
"3.3uH±10%","贴片电感","L1, L2, L3, L4","0805_L","0805 3.3uH10%","2","4"
"蓝牙选择","Header, 3-Pin, Dual row","P1","HDR2X3","Header 3X2","6","1"
"HC-05_CON","Header, 6-Pin","P2","HDR1X6","Header 6","6","1"
"USB","Header, 5-Pin","P3","MICRO-USB","Header 5","7","1"
"电源","Header, 5-Pin, Dual row","P5","HDR2X5","Header 5X2","10","1"
"battery","Header, 2-Pin","P6","HDR1X2","Header 2","2","1"
"SWD","Header, 4-Pin","P7","HDR1X4","Header 4","4","1"
"Header 9X2","Header, 9-Pin, Dual row","P8","HDR2X9","Header 9X2","18","1"
"Header 8X2","Header, 8-Pin, Dual row","P9","HDR2X8","Header 8X2","16","1"
"BSS84LT1G","MOS(场效应管)","Q1","SOT-23(SOT-23-3)","BSS84LT1G","3","1"
"47KΩ","贴片电阻","R1, R2, R3, R5, R6","0402_R","0402 47KΩ (4702) 1%","2","5"
"4.7KΩ","贴片电阻","R7, R9","0402_R","0402 4.7KΩ (4701) 1%","2","2"
"120Ω","贴片电阻","R8, R10, R12, R13","0402_R","0402 120Ω (1200) 1%","2","4"
"10KΩ","贴片电阻","R11","0402_R","0402 10KΩ (1002) 1%","2","1"
"100KΩ","贴片电阻","R14, R15","0402_R","0402 100KΩ (1003) 1%","2","2"
"1.2KΩ","贴片电阻","R16","0402_R","0402 1.2KΩ (1201) 1%","2","1"
"1KΩ","贴片电阻","R17, R21","0402_R","0402 1KΩ (1001) 1%, 0603 1KΩ (1001) 1%","2","2"
"0Ω","贴片电阻","R18","0402_R","0603 0Ω (0R0) 1%","2","1"
"510Ω","贴片电阻","R19, R20","0402_R","0603 510Ω (5100) 1%","2","2"
"1MΩ","贴片电阻","R22","0402_R","0603 1.2MΩ (1204) 1%","2","1"
"10K","贴片电阻","R23, R26, R27, R28, R29","0402_R","0603 10Ω (10R0) 1%","2","5"
"10Ω","贴片电阻","R24","0402_R","0603 10Ω (10R0) 1%","2","1"
"10Ω (10R0) ±1%","贴片电阻","R25","0402_R","0603 10Ω (10R0) 1%","2","1"
"4.99KΩ","贴片电阻","R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46","0603_R","0603 4.99KΩ (4991) 1%","2","17"
"390KΩ","贴片电阻","R47","0603_R","0603 390KΩ (3903) 1%","2","1"
"2KΩ","贴片电阻","R48","0402_R","0402 2KΩ (2001) 1%","2","1"
"0Ω (0R0) ±1%","贴片电阻","R49","0402_R","0402 0Ω (0R0) 1%","2","1"
"SW-PB","Switch","S1","KEY_5.8*5.8","SW-PB","6","1"
"nRF52832","","U1","nRF52832","nRF52832","24","1"
"TF_Card","","U2","TF_1","TF_Card","14","1"
"CH340G","USB","U3","SOIC-16_150mil","CH340G_[C14267]","16","1"
"MPU-6050","传感器","U4","QFN-24_4x4x05P","MPU-6050_[C24112]","25","1"
"TP4056","电池电源管理","U5","SOP-8_EP_150mil","TP4056_[C16581]","9","1"
"TPS60403","","U6","SOT-23-5","TPS60403","5","1"
"TPS73225","","U7","SOT-23-5","TPS73225","5","1"
"TPS71733DCKR","","U8","SC-70-5","TPS71733DCKR","5","1"
"TPS72325","","U9","SOT-23-5","TPS72325","5","1"
"STM32F429ZGT6","ARM","U10","LQFP-144_20x20x05P","STM32F429ZGT6","144","1"
"ADS1299IPAG","","U11","ADS1299","ADS1299IPAG","64","1"
"32.768KHz","贴片晶振","Y1","SMD-3215_2P FC - 135","SMD-3215_2P 32.768KHz 20ppm 12.5pF","2","1"
"8MHz","贴片晶振","Y2","SMD-5032_2P","SMD-5032_2P 8MHz 20ppm 20pF","2","1"
"12MHZ","贴片晶振","Y3","SMD-3225_4P","SMD-3225_4P  12MHZ 20PF 10PPM","4","1"
